ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
153	10_earthsoil	None	PongNuea	Pong Nuea	kadaːj	kadaːj	k a d aː j		1228	20.321525	99.866817	
154	10_earthsoil	None	NyaungGone	Nyaung Gone	kadaj	kadaj	k a d a j		1228	20.635025	96.545772	
155	10_earthsoil	None	NoeLae	Noe Lae	kadaj	kadaj	k a d a j		1228	19.941803	99.044742	
156	10_earthsoil	None	BanPaw	Ban Paw	kadaj	kadaj	k a d a j		1228	21.311225	99.557550	
157	10_earthsoil	None	ChaYeQing	Cha Ye Qing	kadaːj	kadaːj	k a d aː j		1228	24.305717	98.463661	
158	10_earthsoil	None	GuangKa	Guang Ka	kataːj	kataːj	k a t aː j	ruma1248	1228	24.065714	97.796281	
159	10_earthsoil	None	MangBang	Mang Bang	kataːj	kataːj	k a t aː j	ruma1248	1228	24.416392	98.399078	
160	10_earthsoil	None	NanSang	Nan Sang	kataːj	kataːj	k a t aː j	ruma1248	1228	24.019728	97.819736	
161	11_stone	None	NamHsan	Namhsan	moː	moː	m oː		1762	22.965064	97.163239	
162	11_stone	None	KhunHawt	Khun Hawt	moːw	moːw	m oː w		1762	22.965064	97.163239	
163	11_stone	None	HtanHsan	Htan Hsan	moːw	moːw	m oː w		1762	22.675133	97.289942	
164	11_stone	None	PangKham	Pangkham	maːw	maːw	m aː w		1762	22.672097	97.161167	
165	11_stone	None	ManLoi	Man Loi	maːw	maːw	m aː w		1762	22.636019	97.139264	
166	11_stone	None	MengDan	Meng Dan	mɛːw	mɛːw	m ɛː w	khan1274	1762	24.296522	98.379886	
167	11_stone	None	ChuDongGua	Chu Dong Gua	maːw	maːw	m aː w		1762	24.330889	98.393125	
168	11_stone	None	XiangZhaiTang	Xiang Zhai Tang	maːw	maːw	m aː w	ruma1248	1762	24.323819	98.556639	
169	11_stone	None	PongNuea	Pong Nuea	maːw	maːw	m aː w		1762	20.321525	99.866817	
170	11_stone	None	NyaungGone	Nyaung Gone	maw	maw	m a w		1762	20.635025	96.545772	
171	11_stone	None	NoeLae	Noe Lae	maw	maw	m a w		1762	19.941803	99.044742	
172	11_stone	None	BanPaw	Ban Paw	maw	maw	m a w		1762	21.311225	99.557550	
173	11_stone	None	ChaYeQing	Cha Ye Qing	maːw	maːw	m aː w		1762	24.305717	98.463661	
174	11_stone	None	GuangKa	Guang Ka	maːw	maːw	m aː w	ruma1248	1762	24.065714	97.796281	
175	11_stone	None	MangBang	Mang Bang	maːw	maːw	m aː w	ruma1248	1762	24.416392	98.399078	
176	11_stone	None	NanSang	Nan Sang	maːw	maːw	m aː w	ruma1248	1762	24.019728	97.819736	
177	12_mountain	None	NamHsan	Namhsan	sur	sur	s u r		639	22.965064	97.163239	
178	12_mountain	None	KhunHawt	Khun Hawt	sor	sor	s o r		639	22.965064	97.163239	
179	12_mountain	None	HtanHsan	Htan Hsan	sur̥	sur̥	s u r̥		639	22.675133	97.289942	
180	12_mountain	None	PangKham	Pangkham	ŋɔːt	ŋɔːt	ŋ ɔː t		639	22.672097	97.161167	
181	12_mountain	None	ManLoi	Man Loi	ŋauɁ	ŋauɁ	ŋ a u ʔ		639	22.636019	97.139264	
182	12_mountain	None	MengDan	Meng Dan	sul	sul	s u l	khan1274	639	24.296522	98.379886	
183	12_mountain	None	ChuDongGua	Chu Dong Gua	kədiaŋ	kədiaŋ	k ə d i a ŋ		639	24.330889	98.393125	
184	12_mountain	None	XiangZhaiTang	Xiang Zhai Tang	nɔn	nɔn	n ɔ n	ruma1248	639	24.323819	98.556639	
185	12_mountain	None	PongNuea	Pong Nuea	nɔːn	nɔːn	n ɔː n		639	20.321525	99.866817	
186	12_mountain	None	NyaungGone	Nyaung Gone	nɔn	nɔn	n ɔ n		639	20.635025	96.545772	
187	12_mountain	None	NoeLae	Noe Lae	nɔn	nɔn	n ɔ n		639	19.941803	99.044742	
188	12_mountain	None	BanPaw	Ban Paw	nɔn	nɔn	n ɔ n		639	21.311225	99.557550	
189	12_mountain	None	ChaYeQing	Cha Ye Qing	noː	noː	n oː		639	24.305717	98.463661	
190	12_mountain	None	GuangKa	Guang Ka	koŋ	koŋ	k o ŋ	ruma1248	639	24.065714	97.796281	
191	12_mountain	None	MangBang	Mang Bang	nɔː	nɔː	n ɔː	ruma1248	639	24.416392	98.399078	
192	12_mountain	None	NanSang	Nan Sang	kɔŋ	kɔŋ	k ɔ ŋ	ruma1248	639	24.019728	97.819736	
193	13_tree	None	NamHsan	Namhsan	ɗɨŋ heː	ɗɨŋ heː	ɗ ɨ ŋ + h eː		906	22.965064	97.163239	
194	13_tree	None	KhunHawt	Khun Hawt	ɗәŋ hej	ɗәŋ hej	ɗ ə ŋ + h e j		906	22.965064	97.163239	
195	13_tree	None	HtanHsan	Htan Hsan	ɗɨŋ hej	ɗɨŋ hej	ɗ ɨ ŋ + h e j		906	22.675133	97.289942	
196	13_tree	None	PangKham	Pangkham	hej	hej	h e j		906	22.672097	97.161167	
197	13_tree	None	ManLoi	Man Loi	daŋ heː	daŋ heː	d a ŋ + h eː		906	22.636019	97.139264	
198	13_tree	None	MengDan	Meng Dan	hi	hi	h i	khan1274	906	24.296522	98.379886	
199	13_tree	None	ChuDongGua	Chu Dong Gua	hi	hi	h i		906	24.330889	98.393125	
200	13_tree	None	XiangZhaiTang	Xiang Zhai Tang	daŋhej	daŋhej	d a ŋh e j	ruma1248	906	24.323819	98.556639	
201	13_tree	None	PongNuea	Pong Nuea	hej	hej	h e j		906	20.321525	99.866817	
202	13_tree	None	NyaungGone	Nyaung Gone	he	he	h e		906	20.635025	96.545772	
203	13_tree	None	NoeLae	Noe Lae	he	he	h e		906	19.941803	99.044742	
204	13_tree	None	BanPaw	Ban Paw	he	he	h e		906	21.311225	99.557550	
205	13_tree	None	ChaYeQing	Cha Ye Qing	hɔːj	hɔːj	h ɔː j		906	24.305717	98.463661	
206	13_tree	None	GuangKa	Guang Ka	taŋhɔːj	taŋhɔːj	t a ŋh ɔː j	ruma1248	906	24.065714	97.796281	
207	13_tree	None	MangBang	Mang Bang	taŋhɔːj	taŋhɔːj	t a ŋh ɔː j	ruma1248	906	24.416392	98.399078	
208	13_tree	None	NanSang	Nan Sang	taŋhɔj	taŋhɔj	t a ŋh ɔ j	ruma1248	906	24.019728	97.819736	
209	14_root	None	NamHsan	Namhsan	riah	riah	r i a h		670	22.965064	97.163239	
210	14_root	None	KhunHawt	Khun Hawt	riah	riah	r i a h		670	22.965064	97.163239	
211	14_root	None	HtanHsan	Htan Hsan	riah hej	riah hej	r i a h + h e j		670	22.675133	97.289942	
212	14_root	None	PangKham	Pangkham	riah	riah	r i a h		670	22.672097	97.161167	
213	14_root	None	ManLoi	Man Loi	riah hej	riah hej	r i a h + h e j		670	22.636019	97.139264	
214	14_root	None	MengDan	Meng Dan	riah hiː	riah hiː	r i a h + h iː	khan1274	670	24.296522	98.379886	
215	14_root	None	ChuDongGua	Chu Dong Gua	riahhi	riahhi	r i a hː i		670	24.330889	98.393125	
216	14_root	None	XiangZhaiTang	Xiang Zhai Tang	riahhej	riahhej	r i a hː e j	ruma1248	670	24.323819	98.556639	
217	14_root	None	PongNuea	Pong Nuea	riah	riah	r i a h		670	20.321525	99.866817	
218	14_root	None	NyaungGone	Nyaung Gone	riah	riah	r i a h		670	20.635025	96.545772	
219	14_root	None	NoeLae	Noe Lae	riah	riah	r i a h		670	19.941803	99.044742	
220	14_root	None	BanPaw	Ban Paw	riah	riah	r i a h		670	21.311225	99.557550	
221	14_root	None	ChaYeQing	Cha Ye Qing	ɣəhhɔj	ɣəhhɔj	ɣ ə hː ɔ j		670	24.305717	98.463661	
222	14_root	None	GuangKa	Guang Ka	ʐəh hɔːj	ʐəh hɔːj	ʐ ə h + h ɔː j	ruma1248	670	24.065714	97.796281	
223	14_root	None	MangBang	Mang Bang	ɣəh	ɣəh	ɣ ə h	ruma1248	670	24.416392	98.399078	
224	14_root	None	NanSang	Nan Sang	rəhhɔj	rəhhɔj	r ə hː ɔ j	ruma1248	670	24.019728	97.819736	
